2025-09-30,Transfer to GR200970787019636440 - Monthly Fee,-5.00,21237.00
2025-08-31,Transfer to GR200970787019636440 - Monthly Fee,-5.00,21242.00
2025-07-31,Transfer to GR200970787019636440 - Monthly Fee,-5.00,21247.00
2025-06-30,Transfer to GR200970787019636440 - Monthly Fee,-5.00,21252.00
2025-05-31,Transfer to GR200970787019636440 - Monthly Fee,-5.00,21257.00
2025-11-30,Transfer to GR200181913656576526 - Monthly Fee,-5.00,21262.00
2025-10-31,Transfer to GR200181913656576526 - Monthly Fee,-5.00,21267.00
2025-09-30,Transfer to GR200181913656576526 - Monthly Fee,-5.00,21272.00
2025-08-31,Transfer to GR200181913656576526 - Monthly Fee,-5.00,21277.00
2025-07-31,Transfer to GR200181913656576526 - Monthly Fee,-5.00,21282.00
2025-06-30,Transfer to GR200181913656576526 - Monthly Fee,-5.00,21287.00
2025-05-31,Transfer to GR200181913656576526 - Monthly Fee,-5.00,21292.00
2025-08-31,Transfer to GR200142021179545216 - Monthly Fee,-5.00,21297.00
2025-07-31,Transfer to GR200142021179545216 - Monthly Fee,-5.00,21302.00
2025-06-30,Transfer to GR200142021179545216 - Monthly Fee,-5.00,21307.00
2025-05-31,Transfer to GR200142021179545216 - Monthly Fee,-5.00,21312.00
2025-05-31,Transfer to GR200705702154278271 - Monthly Fee,-5.00,21317.00
