2025-06-30,Transfer from GR200783060066494593 - Monthly Rate,1.67,1019.35
2025-05-31,Transfer from GR200783060066494593 - Monthly Rate,0.50,1017.68
2025-06-30,Transfer from GR200096839166887843 - Monthly Rate,1.67,1017.18
2025-05-31,Transfer from GR200096839166887843 - Monthly Rate,0.50,1015.51
2025-06-30,Transfer from GR200531794437971832 - Monthly Rate,1.67,1015.01
2025-05-31,Transfer from GR200531794437971832 - Monthly Rate,0.50,1013.34
2025-09-30,Transfer from GR200219232037090916 - Monthly Rate,1.66,1012.84
2025-08-31,Transfer from GR200219232037090916 - Monthly Rate,1.71,1011.18
2025-07-31,Transfer from GR200219232037090916 - Monthly Rate,1.71,1009.47
2025-06-30,Transfer from GR200219232037090916 - Monthly Rate,1.71,1007.75
2025-05-31,Transfer from GR200219232037090916 - Monthly Rate,0.50,1006.05
2025-08-31,Transfer from GR200057370397633730 - Monthly Rate,1.71,1005.55
2025-07-31,Transfer from GR200057370397633730 - Monthly Rate,1.70,1003.84
2025-06-30,Transfer from GR200057370397633730 - Monthly Rate,1.64,1002.14
2025-05-31,Transfer from GR200057370397633730 - Monthly Rate,0.49,1000.49
2025-05-23,ATM Deposit,100.00,1169.00
2025-05-23,ATM Deposit,123.00,1069.00
2025-05-23,ATM Deposit,100.00,946.00
