2025-09-30,Transfer to GR200970787019636440 - Monthly Fee,-5.00,10235.00
2025-08-31,Transfer to GR200970787019636440 - Monthly Fee,-5.00,10240.00
2025-07-31,Transfer to GR200970787019636440 - Monthly Fee,-5.00,10245.00
2025-06-30,Transfer to GR200970787019636440 - Monthly Fee,-5.00,10250.00
2025-05-31,Transfer to GR200970787019636440 - Monthly Fee,-5.00,10255.00
2025-11-30,Transfer to GR200181913656576526 - Monthly Fee,-5.00,10260.00
2025-10-31,Transfer to GR200181913656576526 - Monthly Fee,-5.00,10265.00
2025-09-30,Transfer to GR200181913656576526 - Monthly Fee,-5.00,10270.00
2025-08-31,Transfer to GR200181913656576526 - Monthly Fee,-5.00,10275.00
2025-07-31,Transfer to GR200181913656576526 - Monthly Fee,-5.00,10280.00
2025-06-30,Transfer to GR200181913656576526 - Monthly Fee,-5.00,10285.00
2025-05-31,Transfer to GR200181913656576526 - Monthly Fee,-5.00,10290.00
2025-08-31,Transfer to GR200142021179545216 - Monthly Fee,-5.00,10295.00
2025-07-31,Transfer to GR200142021179545216 - Monthly Fee,-5.00,10300.00
2025-06-30,Transfer to GR200142021179545216 - Monthly Fee,-5.00,10305.00
2025-05-31,Transfer to GR200142021179545216 - Monthly Fee,-5.00,10310.00
2025-05-31,Transfer to GR200705702154278271 - Monthly Fee,-5.00,10315.00
