2025-06-30,Transfer from GR200338671802966318 - Monthly Rate,3.36,2047.43
2025-06-15,Transfer to GR100202503111546006 - MARAGKOUDAKIS English,-80.00,1963.06
2025-05-31,Transfer from GR200338671802966318 - Monthly Rate,1.01,2044.07
2025-06-30,Transfer from GR200866237413052638 - Monthly Rate,3.35,2043.06
2025-06-15,Transfer to GR100202503111546006 - MARAGKOUDAKIS English,-80.00,1958.70
2025-05-31,Transfer from GR200866237413052638 - Monthly Rate,1.01,2039.71
2025-06-30,Transfer from GR200783060066494593 - Monthly Rate,3.35,2038.70
2025-06-15,Transfer to GR100202503111546006 - MARAGKOUDAKIS English,-80.00,1954.35
2025-05-31,Transfer from GR200783060066494593 - Monthly Rate,1.00,2035.35
2025-06-30,Transfer from GR200096839166887843 - Monthly Rate,3.34,2034.35
2025-06-15,Transfer to GR100202503111546006 - MARAGKOUDAKIS English,-80.00,1950.01
2025-05-31,Transfer from GR200096839166887843 - Monthly Rate,1.00,2031.01
2025-06-30,Transfer from GR200531794437971832 - Monthly Rate,3.33,2030.01
2025-06-15,Transfer to GR100202503111546006 - MARAGKOUDAKIS English,-80.00,1945.68
2025-05-31,Transfer from GR200531794437971832 - Monthly Rate,1.00,2026.68
2025-09-30,Transfer from GR200219232037090916 - Monthly Rate,3.32,2025.68
2025-08-31,Transfer from GR200219232037090916 - Monthly Rate,3.43,2022.35
2025-08-15,Transfer to GR100202503111546006 - MARAGKOUDAKIS English,-80.00,1851.09
2025-07-31,Transfer from GR200219232037090916 - Monthly Rate,3.42,2018.92
2025-06-30,Transfer from GR200219232037090916 - Monthly Rate,3.42,2015.50
2025-06-15,Transfer to GR100202503111546006 - MARAGKOUDAKIS English,-80.00,1931.09
2025-05-31,Transfer from GR200219232037090916 - Monthly Rate,0.99,2012.08
2025-08-31,Transfer from GR200057370397633730 - Monthly Rate,3.41,2011.09
2025-08-15,Transfer to GR100202503111546006 - MARAGKOUDAKIS English,-80.00,1840.00
2025-07-31,Transfer from GR200057370397633730 - Monthly Rate,3.40,2007.68
2025-06-30,Transfer from GR200057370397633730 - Monthly Rate,3.29,2004.28
2025-06-15,Transfer to GR100202503111546006 - MARAGKOUDAKIS English,-80.00,1920.00
2025-05-31,Transfer from GR200057370397633730 - Monthly Rate,0.99,2000.99
2025-08-15,Transfer to GR100202503111546006 - MARAGKOUDAKIS English,-80.00,1384.00
2025-06-15,Transfer to GR100202503111546006 - MARAGKOUDAKIS English,-80.00,1464.00
2025-12-15,Transfer to GR100202503111546006 - MARAGKOUDAKIS English,-80.00,1544.00
2025-10-15,Transfer to GR100202503111546006 - MARAGKOUDAKIS English,-80.00,1624.00
2025-08-15,Transfer to GR100202503111546006 - MARAGKOUDAKIS English,-80.00,1704.00
2025-06-15,Transfer to GR100202503111546006 - MARAGKOUDAKIS English,-80.00,1784.00
2025-08-15,Transfer to GR100202503111546006 - MARAGKOUDAKIS English,-80.00,1864.00
2025-06-15,Transfer to GR100202503111546006 - MARAGKOUDAKIS English,-80.00,1944.00
