2025-06-30,Transfer from GR200338671802966318 - Monthly Rate,0.04,25.57
2025-05-31,Transfer from GR200338671802966318 - Monthly Rate,0.01,25.53
2025-06-30,Transfer from GR200866237413052638 - Monthly Rate,0.04,25.52
2025-05-31,Transfer from GR200866237413052638 - Monthly Rate,0.01,25.48
2025-06-30,Transfer from GR200783060066494593 - Monthly Rate,0.04,25.47
2025-05-31,Transfer from GR200783060066494593 - Monthly Rate,0.01,25.43
2025-06-30,Transfer from GR200096839166887843 - Monthly Rate,0.04,25.42
2025-05-31,Transfer from GR200096839166887843 - Monthly Rate,0.01,25.38
2025-06-30,Transfer from GR200531794437971832 - Monthly Rate,0.04,25.37
2025-05-31,Transfer from GR200531794437971832 - Monthly Rate,0.01,25.33
2025-09-30,Transfer from GR200219232037090916 - Monthly Rate,0.04,25.32
2025-08-31,Transfer from GR200219232037090916 - Monthly Rate,0.04,25.28
2025-07-31,Transfer from GR200219232037090916 - Monthly Rate,0.04,25.24
2025-06-30,Transfer from GR200219232037090916 - Monthly Rate,0.04,25.20
2025-05-31,Transfer from GR200219232037090916 - Monthly Rate,0.01,25.15
2025-08-31,Transfer from GR200057370397633730 - Monthly Rate,0.04,25.14
2025-07-31,Transfer from GR200057370397633730 - Monthly Rate,0.04,25.10
2025-06-30,Transfer from GR200057370397633730 - Monthly Rate,0.04,25.05
2025-05-31,Transfer from GR200057370397633730 - Monthly Rate,0.01,25.01
